REFDATE,NOC,NOC_job_vacancies,NOC_proportion_of_job_vacancies,NOC_average_offered_hourly_wage,ECON_assets_share_of_net_worth,ECON_debt_to_disposable_income,ECON_financial_assets_share_of_net_worth,ECON_financial_assets_share_of_total_assets,ECON_financial_assets_to_nonfinancial_assets,ECON_ liabilities_share_of_net_worth,ECON_liabilities_share_of_total_assets,ECON_net_worth_share_of_disposable_income,ECON_nonfinancial_assets_share_of_total_assets,ECON_owners_equity_share_of_real_estate,ECON_real_estate_share_of_disposable_income,ECON_real_estate_share_of_total_assets,Persons_in_thousands,INTEREST_RATE_fixed_variable,Core_inflation_factor_CPI_common,Core_inflation_weighted_median_CPI_median,Core_inflation_trimmed_mean_CPI_trim,Core_inflation_weighted_median_CPI_median_index,Core_inflation_trimmed_mean_CPI_trim_index,Core_inflation_all_items_excluding_8,Core_inflation_all_items_excluding_8_SA,GDP_by_income_compensation_of_employees,GDP_by_income_wages_and_salaries,GDP_by_industry_chained_2017_dollars_SA,GDP_by_industry_2017_constant_prices_SA,GDP_by_2017_constant_prices_TDA
42005,Aerospace engineers [21390],0,100,25.65,0,0,0,0,0,0,0,0,0,0,0,0,1341.5,3.04,1.9,1.8,1.7,166.8,164,124,124.6,1021492,880528,114468,113792,9215
42036,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1340.6,2.87,1.7,1.8,1.6,167,164.2,124.7,124.8,#N/A,#N/A,114001,113584,9387
42064,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1334.6,2.84,1.7,1.8,1.6,167.3,164.5,125.4,125.3,#N/A,#N/A,113583,113279,9404
42095,Aerospace engineers [21390],90,100,33.9,0,0,0,0,0,0,0,0,0,0,0,0,1340.1,2.82,1.8,1.6,1.4,167.4,164.5,125.5,125.3,1027372,885148,113291,113039,9471
42125,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1343.2,2.8,1.9,1.7,1.5,167.8,164.9,126,125.5,#N/A,#N/A,113116,112983,9553
42156,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1345.5,2.78,1.9,1.6,1.5,168,165.1,126,125.8,#N/A,#N/A,112883,112770,9655
42186,Aerospace engineers [21390],0,100,36.9,0,0,0,0,0,0,0,0,0,0,0,0,1356.9,2.71,2,1.8,1.7,168.3,165.4,126,126,1028580,885672,112884,112847,9519
42217,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1374.3,2.65,2,1.8,1.6,168.6,165.6,126.3,126.2,#N/A,#N/A,113183,113175,9426
42248,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1372.9,2.64,2,1.7,1.7,168.8,165.9,126.6,126.4,#N/A,#N/A,112855,112993,9418
42278,Aerospace engineers [21390],75,100,35.15,120.6,178.2,64,53.1,113.2,20.6,17.1,863.1,46.9,72.4,430.1,41.3,1362.8,2.66,2.1,1.8,1.7,169.1,166.1,127,126.7,1029940,886292,113202,113370,9406
42309,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1382.2,2.71,2.1,1.9,1.8,169.5,166.4,126.6,126.7,#N/A,#N/A,113584,113740,9439
42339,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1384.4,2.69,2,2,1.8,169.9,166.7,126.1,126.9,#N/A,#N/A,113951,114133,9416
42370,Aerospace engineers [21390],55,92.7,29.1,0,0,0,0,0,0,0,0,0,0,0,0,1376.3,2.82,2.1,2,1.8,170.1,167,126.5,127.1,1020836,876816,114275,114220,9250
